# PIMCID: c98674cb-9818-4827-8ba2-1a996bca1df0
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  3.94216398E+02 -6.27484896E+02 -2.33268498E+02 -6.45479743E+01  1.50449040E+01 -2.68996890E+01 -1.18547850E+01  2.34334061E+01  5.52738122E+02  2.43561954E-02
  4.14427880E+02 -6.61904561E+02 -2.47476681E+02 -7.16053044E+01  1.52906901E+01 -2.71975708E+01 -1.19068807E+01  2.44265801E+01  6.00951255E+02  2.53884798E-02
  5.25463917E+02 -6.90434301E+02 -1.64970384E+02  1.62878157E+01  1.95914383E+01 -2.75188778E+01 -7.92743945E+00  2.51747500E+01  6.36742167E+02  2.61661120E-02
  4.39843508E+02 -6.61558725E+02 -2.21715217E+02 -4.56085857E+01  1.63245036E+01 -2.71569138E+01 -1.08324102E+01  2.44592544E+01  6.02279693E+02  2.54224408E-02
  4.27130663E+02 -6.55181551E+02 -2.28050888E+02 -5.31506847E+01  1.58960977E+01 -2.70812279E+01 -1.11851301E+01  2.42916949E+01  5.94222288E+02  2.52482829E-02
  4.78947174E+02 -6.27398058E+02 -1.48450884E+02  2.27199139E+01  1.85746578E+01 -2.65004657E+01 -7.92580783E+00  2.37737220E+01  5.68410045E+02  2.47099126E-02
  4.71666126E+02 -6.70262923E+02 -1.98596797E+02 -2.04417969E+01  1.76784756E+01 -2.71814109E+01 -9.50293529E+00  2.47437500E+01  6.15660714E+02  2.57181396E-02
  4.90253977E+02 -6.56460396E+02 -1.66206418E+02  1.02968328E+01  1.85154327E+01 -2.68815945E+01 -8.36616181E+00  2.45143404E+01  6.04647872E+02  2.54796960E-02
  4.75526694E+02 -6.63543840E+02 -1.88017146E+02 -1.08254420E+01  1.78361219E+01 -2.70618933E+01 -9.22577143E+00  2.46099588E+01  6.09421893E+02  2.55790798E-02
  4.60500117E+02 -6.47243213E+02 -1.86743096E+02 -1.26754600E+01  1.74833389E+01 -2.68751566E+01 -9.39181768E+00  2.41760606E+01  5.88221429E+02  2.51280950E-02
  5.28311832E+02 -6.95099248E+02 -1.66787415E+02  1.64577491E+01  1.94781822E+01 -2.73970486E+01 -7.91886643E+00  2.54507173E+01  6.51045232E+02  2.64529467E-02
  4.71345965E+02 -6.63888789E+02 -1.92542823E+02 -1.68790910E+01  1.76317895E+01 -2.73200496E+01 -9.68826011E+00  2.43977406E+01  5.99505941E+02  2.53585046E-02
  4.48453543E+02 -6.57593860E+02 -2.09140317E+02 -3.25522477E+01  1.68645292E+01 -2.69095687E+01 -1.00450395E+01  2.45261207E+01  6.04633190E+02  2.54919402E-02
  5.50083847E+02 -6.40446095E+02 -9.03622478E+01  8.39728048E+01  2.11815929E+01 -2.65579700E+01 -5.37637709E+00  2.42132018E+01  5.89797412E+02  2.51666988E-02
  5.41583399E+02 -6.70924539E+02 -1.29341140E+02  4.99708269E+01  2.00807432E+01 -2.70512138E+01 -6.97047066E+00  2.49044398E+01  6.24218548E+02  2.58851573E-02
  4.87281295E+02 -6.23800746E+02 -1.36519451E+02  3.36246532E+01  1.86856007E+01 -2.65342261E+01 -7.84862532E+00  2.36311255E+01  5.62391645E+02  2.45617008E-02
  5.10579532E+02 -6.56833478E+02 -1.46253946E+02  3.07698445E+01  1.92782717E+01 -2.68169246E+01 -7.53865287E+00  2.45866376E+01  6.08230131E+02  2.55548402E-02
  5.02752739E+02 -6.62886162E+02 -1.60133423E+02  1.69990325E+01  1.89579411E+01 -2.70537253E+01 -8.09578418E+00  2.46017300E+01  6.08701899E+02  2.55705269E-02
  4.73528068E+02 -6.62853619E+02 -1.89325551E+02 -1.25924347E+01  1.77233161E+01 -2.71021925E+01 -9.37887644E+00  2.45462661E+01  6.06421459E+02  2.55128789E-02
  5.06585570E+02 -6.35777323E+02 -1.29191753E+02  4.42455105E+01  1.93989841E+01 -2.64928566E+01 -7.09387256E+00  2.40885088E+01  5.84315000E+02  2.50370955E-02
  2.11184298E+02 -6.31755268E+02 -4.20570970E+02 -2.54723770E+02  7.21636779E+00 -2.75711615E+01 -2.03547937E+01  2.30343333E+01  5.34375000E+02  2.39414074E-02
  4.28723342E+02 -6.06733960E+02 -1.78010618E+02 -1.07231176E+01  1.66550398E+01 -2.62327588E+01 -9.57771897E+00  2.32343750E+01  5.42928125E+02  2.41493266E-02
  3.15788662E+02 -6.42433967E+02 -3.26645305E+02 -1.56647905E+02  1.15837659E+01 -2.73319275E+01 -1.57481615E+01  2.36107500E+01  5.61515750E+02  2.45405229E-02
  5.87434263E+02 -6.27348385E+02 -3.99141217E+01  1.32324702E+02  2.30539672E+01 -2.63293811E+01 -3.27541391E+00  2.39220588E+01  5.75578529E+02  2.48640908E-02
