# PIMCID: a48c7b1e-9699-4db5-b21f-f7eaecb6ffec
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.59181731E+02 -6.29210990E+02 -1.70029259E+02  7.85030851E-01  1.77943910E+01 -2.66180798E+01 -8.82368879E+00  2.37242069E+01  5.66783310E+02  2.46584477E-02
  4.66846683E+02 -6.41486621E+02 -1.74639938E+02 -1.45263644E+00  1.77977401E+01 -2.67782454E+01 -8.98050532E+00  2.40537919E+01  5.82306477E+02  2.50010115E-02
  5.16555802E+02 -6.49887555E+02 -1.33331753E+02  4.24156409E+01  1.98254246E+01 -2.67193819E+01 -6.89395727E+00  2.44093603E+01  5.99307879E+02  2.53705818E-02
  4.78915235E+02 -6.47233330E+02 -1.68318095E+02  5.99173036E+00  1.84174610E+01 -2.68227974E+01 -8.40533641E+00  2.42096980E+01  5.89289161E+02  2.51630570E-02
  5.29441293E+02 -7.00870186E+02 -1.71428893E+02  1.23928758E+01  1.97109767E+01 -2.75188710E+01 -7.80789430E+00  2.55308013E+01  6.54669583E+02  2.65361843E-02
  5.22607587E+02 -6.92663149E+02 -1.70055562E+02  1.25660853E+01  1.94265196E+01 -2.73864744E+01 -7.95995477E+00  2.53641176E+01  6.46554575E+02  2.63629368E-02
  4.99010523E+02 -6.57151196E+02 -1.58140673E+02  1.87387649E+01  1.92270345E+01 -2.68246533E+01 -7.59761874E+00  2.45665886E+01  6.06150870E+02  2.55340017E-02
  5.46969580E+02 -6.59184816E+02 -1.12215236E+02  6.62669009E+01  2.09373624E+01 -2.66570464E+01 -5.71968397E+00  2.47891857E+01  6.18020326E+02  2.57653645E-02
  4.28398356E+02 -6.45149721E+02 -2.16751365E+02 -4.39940570E+01  1.64014369E+01 -2.69763289E+01 -1.05748920E+01  2.39940705E+01  5.79164840E+02  2.49389383E-02
  5.13555402E+02 -6.74460702E+02 -1.60905300E+02  1.86114030E+01  1.95212631E+01 -2.71252176E+01 -7.60395445E+00  2.49328754E+01  6.24292300E+02  2.59147126E-02
  5.16050863E+02 -6.60997404E+02 -1.44946541E+02  3.25931159E+01  1.95503141E+01 -2.68902529E+01 -7.33993875E+00  2.46582857E+01  6.11774603E+02  2.56293098E-02
  5.19649710E+02 -6.56329211E+02 -1.36679501E+02  4.03864409E+01  1.99466172E+01 -2.67682591E+01 -6.82164192E+00  2.45924919E+01  6.07824660E+02  2.55609251E-02
  4.32293555E+02 -6.44971689E+02 -2.12678134E+02 -3.90300550E+01  1.65044850E+01 -2.68344742E+01 -1.03299892E+01  2.41177888E+01  5.85090132E+02  2.50675285E-02
  5.20188521E+02 -6.65118728E+02 -1.44930206E+02  3.37015644E+01  1.97656220E+01 -2.68876593E+01 -7.12203740E+00  2.48099682E+01  6.18493917E+02  2.57869654E-02
  4.61731813E+02 -6.41171990E+02 -1.79440177E+02 -6.11913705E+00  1.76967137E+01 -2.67350589E+01 -9.03834525E+00  2.40723667E+01  5.82954767E+02  2.50203177E-02
  4.67302813E+02 -6.29516100E+02 -1.62213288E+02  9.58388887E+00  1.79244471E+01 -2.64902809E+01 -8.56583377E+00  2.38607190E+01  5.73338954E+02  2.48003355E-02
  4.56006411E+02 -6.56025327E+02 -2.00018915E+02 -2.42031438E+01  1.71348339E+01 -2.69647528E+01 -9.82991896E+00  2.44188571E+01  6.00069651E+02  2.53804527E-02
  5.38099554E+02 -6.55677312E+02 -1.17577758E+02  5.91847565E+01  2.03655753E+01 -2.68196623E+01 -6.45408705E+00  2.45503492E+01  6.06273270E+02  2.55171228E-02
  5.21322274E+02 -6.80329430E+02 -1.59007156E+02  2.11918899E+01  1.98772073E+01 -2.72450601E+01 -7.36785285E+00  2.50276453E+01  6.28981713E+02  2.60132144E-02
  5.06220792E+02 -6.57795319E+02 -1.51574526E+02  2.51550840E+01  1.92437929E+01 -2.68887324E+01 -7.64493952E+00  2.45457792E+01  6.05902922E+02  2.55123729E-02
  5.35351298E+02 -6.70760274E+02 -1.35408976E+02  4.37013893E+01  2.03875781E+01 -2.70378284E+01 -6.65025030E+00  2.48764396E+01  6.22232167E+02  2.58560544E-02
  5.17797646E+02 -6.51636674E+02 -1.33839029E+02  4.18352306E+01  1.97823081E+01 -2.67939583E+01 -7.01165020E+00  2.43992027E+01  5.99466379E+02  2.53600242E-02
  4.68400075E+02 -6.51511466E+02 -1.83111391E+02 -8.18871582E+00  1.77177070E+01 -2.69206869E+01 -9.20297991E+00  2.42948161E+01  5.93962642E+02  2.52515270E-02
  5.19681919E+02 -6.53549017E+02 -1.33867098E+02  4.26301021E+01  2.01077413E+01 -2.67361506E+01 -6.62840929E+00  2.45135000E+01  6.03490000E+02  2.54788225E-02
  5.14977130E+02 -6.57758087E+02 -1.42780956E+02  3.35309929E+01  1.97681150E+01 -2.69426320E+01 -7.17451694E+00  2.44877707E+01  6.03048217E+02  2.54520800E-02
  5.24063458E+02 -6.50964625E+02 -1.26901167E+02  4.92366969E+01  2.00536055E+01 -2.66971047E+01 -6.64349920E+00  2.44635922E+01  6.01942686E+02  2.54269494E-02
