#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  1.11600000E+00  2.67768382E-03  5.33670895E-06  1.11600000E+00  2.68810968E-03  6.33020186E-06  1.11600000E+00  2.71144978E-03  7.30216227E-06  1.11600000E+00  2.73579491E-03  5.54497970E-06
  1.13100000E+00  2.19852341E-03  4.50754292E-06  1.13100000E+00  2.20779033E-03  5.22241377E-06  1.13100000E+00  2.22755599E-03  6.35196655E-06  1.13100000E+00  2.24742425E-03  4.38099947E-06
  1.14500000E+00  1.79165486E-03  3.59576615E-06  1.14500000E+00  1.79809512E-03  4.27498094E-06  1.14500000E+00  1.81387148E-03  5.01228064E-06  1.14500000E+00  1.83070333E-03  3.67530994E-06
  1.16000000E+00  1.44482809E-03  3.02695387E-06  1.16000000E+00  1.44998441E-03  3.54153666E-06  1.16000000E+00  1.46177859E-03  4.18511050E-06  1.16000000E+00  1.47525377E-03  3.03266386E-06
  1.17400000E+00  1.15263550E-03  2.32030536E-06  1.17400000E+00  1.15781005E-03  2.84419026E-06  1.17400000E+00  1.16802668E-03  3.31017153E-06  1.17400000E+00  1.17789431E-03  2.50591058E-06
  1.18900000E+00  9.10749682E-04  2.01035484E-06  1.18900000E+00  9.13692908E-04  2.21169761E-06  1.18900000E+00  9.21914867E-04  2.74875322E-06  1.18900000E+00  9.29663713E-04  1.85857597E-06
  1.20400000E+00  7.10702697E-04  1.55515235E-06  1.20400000E+00  7.13809556E-04  1.79025115E-06  1.20400000E+00  7.20311102E-04  2.16513804E-06  1.20400000E+00  7.25719724E-04  1.52113472E-06
  1.21800000E+00  5.48296113E-04  1.20884603E-06  1.21800000E+00  5.51140982E-04  1.35041723E-06  1.21800000E+00  5.54826276E-04  1.65533631E-06  1.21800000E+00  5.59911099E-04  1.19813998E-06
  1.23200000E+00  4.17637822E-04  9.20413482E-07  1.23200000E+00  4.19335633E-04  1.05786120E-06  1.23200000E+00  4.22599132E-04  1.20943203E-06  1.23200000E+00  4.26199667E-04  9.24506118E-07
  1.24700000E+00  3.13669984E-04  7.08464774E-07  1.24700000E+00  3.15111444E-04  7.51405044E-07  1.24700000E+00  3.17464425E-04  9.84298805E-07  1.24700000E+00  3.20038808E-04  7.25693137E-07
  1.26100000E+00  2.32457945E-04  5.68204599E-07  1.26100000E+00  2.33547145E-04  5.56383275E-07  1.26100000E+00  2.35427366E-04  7.31438599E-07  1.26100000E+00  2.37238819E-04  5.59184778E-07
  1.27600000E+00  1.70062054E-04  4.04641714E-07  1.27600000E+00  1.70710544E-04  4.65173969E-07  1.27600000E+00  1.72052068E-04  5.60664094E-07  1.27600000E+00  1.73266266E-04  4.04923897E-07
  1.29000000E+00  1.22299277E-04  2.91646603E-07  1.29000000E+00  1.23086054E-04  3.41705123E-07  1.29000000E+00  1.23963117E-04  3.95810992E-07  1.29000000E+00  1.24801520E-04  2.87314191E-07
  1.30500000E+00  8.67593913E-05  2.08947752E-07  1.30500000E+00  8.71378747E-05  2.39368381E-07  1.30500000E+00  8.78543171E-05  3.01759662E-07  1.30500000E+00  8.83137086E-05  2.17906436E-07
  1.31900000E+00  6.07054984E-05  1.79570871E-07  1.31900000E+00  6.09936875E-05  1.61709653E-07  1.31900000E+00  6.14086696E-05  1.91423427E-07  1.31900000E+00  6.17475008E-05  1.51724923E-07
  1.33400000E+00  4.18855677E-05  1.12171148E-07  1.33400000E+00  4.20600786E-05  1.30175983E-07  1.33400000E+00  4.23818146E-05  1.49259696E-07  1.33400000E+00  4.26263461E-05  1.03541731E-07
